Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description
CBP,70B01C21F00000556,"KOMAN CONSTRUCTION, LLC",2133661.11,2024-05-21,P00013,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,OPTION EXERCISE
CBP,70B06C24F00000762,GEISSELE AUTOMATICS LLC,2111728.5,2024-09-05,0,"GUNS, THROUGH 30MM","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",RIFLE PARTS AND ACCESSORIES
CBP,70B04C24F00000252,"STEAMPUNK, INC.",2102567.8,2024-09-25,P00003,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,EXERCISE OPTION PERIOD 1 AND ADD IVP FUNCTIONALITY CLIN.  PROVIDE FULL AMOUNT OF FUNDS FOR OPTION PERIOD ONE AND NEW CLIN.  DEOBLIGATE BASE PERIOD IOAD CLIN BY TWENTY CENTS.
CBP,70B02C22F00000393,AMERICAN SYSTEMS CORPORATION,2098813.0,2024-04-25,P00016,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,COMPUTER SYSTEMS DESIGN SERVICES,EXERCISE OPTION PERIOD 2 AND ADD FUNDS.
CBP,70B01C24C00000080,"INTEGRIWARD, LLC",2085074.3,2024-09-28,0,MAINTENANCE OF FAMILY HOUSING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"HOUSING REPAIRS AND ALTERATIONS, NORTHERN BORDER"
CBP,70B02C22F00000338,"MODERN TECHNOLOGY SOLUTIONS, INC.",2074810.98,2024-06-17,P00010,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,UAS SUPPORT SERVICES
CBP,70B01C24C00000188,"B3 CONSTRUCTION, INC",2062743.82,2024-09-30,0,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,PAINTING AND WALL COVERING CONTRACTORS,ANTIMICROBIAL PAINT APPLICATION TO MULTIPLE SAN DIEGO SECTOR ADMINISTRATIVE AND DETENTION FACILITIES.
CBP,70B01C24F00000990,"CONSTANT SOLUTIONS, LLC",2052472.0,2024-09-27,0,SUPPORT- MANAGEMENT: DATA COLLECTION,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,FFP TASK ORDER TO FUND THE BASE PERIOD FOR IDIQ CONTRACT 70B01C24D00000033.
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,2041967.68,2024-01-29,P00019,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS OVERCAPACITY FUNDING
CBP,70B06C23F00000200,PERATON RISK DECISION INC.,2029991.6,2024-02-27,P00006,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,INVESTIGATION AND PERSONAL BACKGROUND CHECK SERVICES,EXERCISE OP4
CBP,70B06C24F00000982,SYZYGY INTEGRATION LLC,2027547.0,2024-09-24,0,"IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)",RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,COMMUNICATIONS EQUIPMENT
CBP,70B04C19F00000972,NATIVE ENERGY & TECHNOLOGY INC,2016131.66,2024-09-16,P00010,MAINTENANCE OF OFFICE BUILDINGS,FACILITIES SUPPORT SERVICES,ENVIRONMENTAL SUPPORT SERVICES
CBP,70B01C24C00000145,"CCI PRIME CONTRACTORS, LLC",2015183.7,2024-09-29,0,MAINTENANCE OF MISCELLANEOUS BUILDINGS,INDUSTRIAL BUILDING CONSTRUCTION,THESE REQUIREMENTS ARE IN VARIOUS LAREDO AND OTHER AREAS IN TEXAS
CBP,70B01C24F00000952,GUIDEHOUSE INC.,2012880.0,2024-09-16,0,SUPPORT- MANAGEMENT: FINANCIAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IAO - OFFICE OF TRADE CORE SERVICES
CBP,70B03C23F00001086,CREDENCE DYNAMO SOLUTIONS LLC,2007541.12,2024-07-15,P00002,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ENGINEERING SERVICES,OY 1: MSD CONTRACT SUPPORT
CBP,70B02C23F00000263,THE MITRE CORPORATION,2001726.3,2024-09-21,P00026,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",U. S. BORDER PATROL PROGRAM MANAGEMENT AND TECHNICAL SUPPORT ADDITIONAL FUNDS
CBP,70B01C24F00000035,"CENTERRA GROUP, LLC",2000000.0,2024-09-28,P00011,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B01C24F00000035,"CENTERRA GROUP, LLC",2000000.0,2024-09-30,P00012,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B03C24F00000987,"ROCKWELL AMERICAN SERVICES, LTD.",2000000.0,2024-09-23,0,SPECIAL DIETARY FOODS AND FOOD SPECIALTY PREPARATIONS,FOOD SERVICE CONTRACTORS,FOOD SERVICES ORDER FOR USBP SAN DIEGO SECTOR AREA OF OPERATIONS UNDER IDIQ CONTRACT 70B03C23D00000017.
CBP,70B01C21F00000575,"KOMAN CONSTRUCTION, LLC",2000000.0,2024-08-01,P00007,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,"INCREASE THE CONTRACT FROM $15,911,316.81 TO $17,911,316.81 BY $2,000,000."
CBP,70B04C23F00000007,"FOUR POINTS TECHNOLOGY, L.L.C.",2000000.0,2024-06-24,P00016,"IT AND TELECOM - PLATFORM AS A SERVICE: DATABASE, MAINFRAME, MIDDLEWARE",OTHER COMPUTER RELATED SERVICES,AMAZON WEB SERVICES FOR CBP. THIS MODIFICATION IS AN ADMINISTRATIVE FUNDING CHANGE ONLY.
CBP,70B03C23F00000406,"TRAILBOSS ENTERPRISES, INC.",2000000.0,2024-01-24,P00007,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,FACILITIES SUPPORT SERVICES,PARTIAL FUNDING DUE TO CR
CBP,70B03C24F00000283,"TRAILBOSS ENTERPRISES, INC.",2000000.0,2024-08-26,P00004,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,FUNDING ACTION ONLY DUE TO FUNDING ISSUES
CBP,70B01C24F00000394,GUIDEHOUSE INC.,1999961.04,2024-06-12,0,SUPPORT- MANAGEMENT: FINANCIAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TASK ORDER FOR IDVRS LIFECYCLE PROGRAM MANAGEMENT AND SERVICES IN FY2024.
CBP,70B01C23P00000341,"NORTH WIND SITE SERVICES, LLC",1998865.34,2024-07-25,P00002,ARCHITECT AND ENGINEERING- GENERAL: OTHER,ALL OTHER SPECIALTY TRADE CONTRACTORS,OPTION EXERCISE
CBP,70B04C21F00001386,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1997897.93,2024-01-31,P00016,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,EXERCISE OPTION PERIOD
CBP,70B01C24C00000176,"B3 CONSTRUCTION, INC",1997541.35,2024-09-30,0,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,INSTALL PREFABRICATED BUTLER BUILDING
CBP,70B03C24F00000889,"LEIDOS, INC.",1996040.0,2024-09-18,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,DENSITY METERS ORDER
CBP,70B06C21F00000531,"MANAGED CARE ADVISORS, INC.",1992263.0,2024-08-07,P00020,MEDICAL- OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MEDICAL CARE ASSISTNACE
CBP,70B01C24C00000091,"IMPACT ELECTRIC SERVICES, LLC",1989793.23,2024-09-18,0,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,THIS REQUIREMENT INVOLVES VARIOUS PROJECTS IN TEXAS
CBP,70B01C24C00000072,"IMPACT ELECTRIC SERVICES, LLC",1989242.61,2024-08-13,0,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NEW AWARD TO PROVIDE INCREASE AREA INSPECTION AT CHECKPOINT
CBP,70B01C24F00000033,"CENTERRA GROUP, LLC",1980320.21,2024-09-16,P00008,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B01C24F00000033,"CENTERRA GROUP, LLC",1980000.0,2024-09-28,P00010,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B03C21F00001090,ASTROPHYSICS INC,1980000.0,2024-07-25,P00004,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"ADDITIONAL FUNDING FOR CIVIL WORKS AND INSTALLATION AT SANTA TERESA, NM AND DEL RIO, TX"
CBP,70B06C23F00001250,ASPETTO INC,1975545.61,2024-04-12,P00003,"ARMOR, PERSONAL",APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,ORDERING ADDITIONAL BODY ARMOR.
CBP,70B01C24C00000156,DCR SERVICES & CONSTRUCTION INC,1975537.0,2024-09-27,0,CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,RENOVATION AND EXPANSION OF SECURE SPACE (SCIF) IN BUILDING 1515
CBP,70B06C24F00000443,OMNIPLEX WORLD SERVICES CORPORATION,1966424.09,2024-09-29,P00002,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,INVESTIGATION AND PERSONAL BACKGROUND CHECK SERVICES,OP2 EXERCISE
CBP,70B06C24F00000574,"CHENEGA ENTERPRISE SYSTEMS & SOLUTIONS, LLC",1965929.0,2024-09-30,0,EDUCATION/TRAINING- GENERAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TRAINING VENUE SUPPORT AND TRAINING SUPPORT SERVICES
CBP,70B04C24F00001010,"FS PARTNERS, LLP",1960244.3,2024-09-26,0,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,DATA EQUIPMENT
CBP,70B02C24C00000158,SEHLKE CONSULTING LLC,1958960.0,2024-09-30,0,SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CONTRACT AWARD
CBP,70B03C24F00000235,"RANGER LAND SYSTEMS, INC.",1955724.96,2024-07-31,P00004,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,FACILITIES SUPPORT SERVICES,DATA ENTRY CONTRACTOR SUPPORT
CBP,70B01C24F00000935,GUIDEHOUSE INC.,1949951.0,2024-09-13,0,SUPPORT- MANAGEMENT: FINANCIAL,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"INVESTMENT ANALYSIS OFFICE - HUMAN RESOURCE MANAGEMENT OFFICE (HRM) PLANNING, PROGRAM ANALYSIS AND EVALUATION DIRECTORATE (PPAE) CORE SERVICES."
CBP,70B06C23F00001082,CAPITAL CENTER FOR CREDIBILITY ASSESSMENT CORPORATION,1948244.3,2024-03-22,P00001,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","THE PURPOSES OF THIS MODIFICATION ARE TO EXERCISE THE OPTION SURGE LINE ITEM FOR POLYGRAPH EXAMS AND NO SHOWS UNDER FAR 52.217-7-OPTION FOR INCREASED QUANTITY-SEPARATELY PRICED LINE ITEM, ADD FUNDING, AND INCREASE THE TOTAL TASK ORDER CEILING."
CBP,70B06C23F00000047,"MAYVIN, INC.",1940547.24,2024-06-17,P00008,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,INCREMENTAL FUNDING TO FULLY FUND OPTION YEAR 1.
CBP,70B01C24F00000150,NATIVE ENERGY & TECHNOLOGY INC,1939312.71,2024-03-29,0,"MAINT/REPAIR/REBUILD OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",FACILITIES SUPPORT SERVICES,FUNDING TASK ORDER FOR THE PREVENTATIVE MAINTENANCE IDIQ CONTRACT FOR CBP FACILITIES IN THE SOUTHEAST REGION.
CBP,70B02C21C00000017,GLOBAL MARITEK SYSTEMS INC,1937548.44,2024-02-27,P00026,MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,SHIP BUILDING AND REPAIRING,VESSEL OPERATION AND LOGISTICS SUPPORT
CBP,70B01C24C00000146,WASHINGTON OFFICE INTERIORS LLC,1937480.1,2024-09-26,0,REPAIR OR ALTERATION OF CONFERENCE SPACE AND FACILITIES,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","CONTRACTOR SHALL DESIGN, FURNISH, AND INSTALL A NEW MULTI ZONE AIR CONDITIONING SYSTEM."
CBP,70B01C24F00000035,"CENTERRA GROUP, LLC",1933673.52,2024-09-10,P00009,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING PROVIDED
CBP,70B04C24F00000261,SENTRILLION CORPORATION,1929637.0,2024-04-11,0,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),COMPUTER SYSTEMS DESIGN SERVICES,BORDER SECURITY DEPLOYMENT PROGRAM CENTRALIZED AREA VIDEO SURVEILLANCE SYSTEMS FOR BSDP PROGRAM AND PROJECT MANAGEMENT AND BSDP OPERATIONS AND MAINTENANCES SUPPORT SERVICES
CBP,70B01C24C00000135,"SOUTHEASTERN INDUSTRIAL BARLOVENTO JV-3, LLC",1927527.0,2024-09-24,0,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"RENOVATE RESTROOMS AND REPLACE WINDOWS, DOORS, AND FLOORING."
CBP,70B01C23C00000114,"CAPITOL ADVISORS ON TECHNOLOGY, LLC",1925887.8,2024-08-30,P00002,SUPPORT- ADMINISTRATIVE: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"TO PROVIDE PROFESSIONAL SUPPORT TO THE CBP RIM PROGRAM FOR INFORMATION GOVERNANCE, RECORDS MANAGEMENT, PROCESS DEVELOPMENT & SUSTAINMENT, PROGRAM MANAGEMENT, AND COMMUNICATIONS ACTIVITIES FOR OPTION YEAR ONE."
CBP,70B01C24F00000004,"WORKWEAR OUTFITTERS, LLC",1916012.0,2024-06-24,P00014,"CLOTHING, SPECIAL PURPOSE",MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,TO ADD FUNDING FOR THE REMAINING FY 2024 FOR THE UNIFORM ALLOWANCE ACCOUNTS
CBP,70B04C24F00000460,"PANAMERICA COMPUTERS, INC.",1913375.0,2024-06-27,0,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,EQUIPMENT BEING PURCHASED FOR UNITED STATES BORDER PATROL DESKTOP
CBP,70B02C24C00000079,"NEMEAN SOLUTIONS, LLC",1906260.0,2024-09-20,P00002,"OTHER QC/TEST/INSPECT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",COMPUTER SYSTEMS DESIGN SERVICES,"P00002-FUNDING AND UPDATE THE COST PROPOSAL (NO CHANGE IN COST), ONLY LABOR CATEGORY."
CBP,70B03C24F00000880,"ELEVATION, LTD.",1904597.3,2024-09-17,0,SUPPORT- MANAGEMENT: ADVERTISING,MARKETING CONSULTING SERVICES,ELECTRONIC SYSTEM FOR TRAVEL AUTHORIZATION (ESTA) PROGRAM
CBP,70B03C24F00000987,"ROCKWELL AMERICAN SERVICES, LTD.",1900000.0,2024-09-25,P00001,SPECIAL DIETARY FOODS AND FOOD SPECIALTY PREPARATIONS,FOOD SERVICE CONTRACTORS,EXERCISE OF OPTIONAL CLIN'S FOR ADDITIONAL FUNDING TO COVER FULL REQUIREMENTS.
CBP,70B01C23P00000090,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,1900000.0,2024-05-29,P00003,TRANSPORT/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUIT: PURCH OF TRANSIT/PUBLIC TRANSPORT FARE MEDIA,MIXED MODE TRANSIT SYSTEMS,WMATA SMARTTRIP CARD SUPPORT UNDER THE SMARTBENEFITS PROGRAM SUPPORTING CBP'S PUBLIC TRANSPORTATION INCENTIVE PROGRAM FOR CBP EMPLOYEES COMMUTING FARE. EXERCISE OY1.
CBP,70B01C24C00000169,"ADVANCIA REMEDIATION SERVICES, LLC",1892520.0,2024-09-27,0,REPAIR OR ALTERATION OF OTHER INDUSTRIAL BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BUILD ARMORY IN BELLINGHAM TRAINING FACILITY AND TO INSTALL ROOF AT BLAIN STATION SALLY PORT.
CBP,70B01C24F00000033,"CENTERRA GROUP, LLC",1891774.31,2024-07-16,P00007,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING
CBP,70B02C24C00000001,LOCKHEED MARTIN CORP,1879033.0,2024-08-28,0,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,P-3 AIRCRAFT ENGINEERING SUPPORT FOR THE P-3 MISSION MANAGEMENT SYSTEM AND TECHNICAL FIELD SUPPORT SERVICES FOR THE P-3 AEW AND LRT AIRCRAFT
CBP,70B02C22F00001047,IT TECH DIRECT LLC,1877304.44,2024-09-04,P00013,SUPPORT- MANAGEMENT: OTHER,ENGINEERING SERVICES,P00013-EXERICSE OY 2 AND PROVIDE FUNDING.
CBP,70B01C19F00000112,NATIVE ENERGY & TECHNOLOGY INC,1861354.1,2024-08-21,P00021,MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,FACILITIES SUPPORT SERVICES,PERIOD OF PERFORMANCE EXTENDED TO COMPLETE TRANSITION OUT SERVICES AS WELL AS ADD FUNDING FOR SERVICES THAT ARE URGENT AND MISSION CRITICAL TO THE AGENCY
CBP,70B04C23F00000973,"LEIDOS, INC.",1860987.0,2024-07-03,P00009,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS)
CBP,70B03C22F00001091,DEPLOYED RESOURCES LLC,1854000.0,2024-01-18,P00003,SUPPORT- PROFESSIONAL: OTHER,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISE OPTION YEAR 2, POP 4/1/24 - 3/31/25, $1,854,000.00"
CBP,70B04C24F00000184,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1847288.18,2024-04-15,P00002,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,IT SERVICE AND SUPPORT
CBP,70B03C23F00001179,CONSTELLATION INC,1845789.89,2024-04-18,P00002,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ENGINEERING SERVICES,PROGRAM MANAGEMENT SUPPORT - MODIFICATION TO ADD THE BALANCE OF OPTION PERIOD 1 FUNDING
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1840284.0,2024-09-28,P00009,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B03C24C00000039,"ACHIEVE HUMAN SERVICES, INC.",1837971.52,2024-09-05,0,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,CUSTODIAL AND GROUNDS MAINTENANCE SERVICES FOR THE USBP YUMA SECTOR AREA OF OPERATIONS - ABILITYONE PROGRAM.
CBP,70B01C24F00000940,GUIDEHOUSE INC.,1830093.84,2024-09-23,0,SUPPORT- ADMINISTRATIVE: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IT REMEDIATION SERVICES
CBP,70B01C24C00000023,"CHICKASAW AEROSPACE, LLC",1828560.98,2024-05-29,P00001,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MODIFICATION TO FUND THE REST OF THE BASE PERIOD AND REPLACE AN EMPLOYEE WITH A HIGHER LEVEL EMPLOYEE.
CBP,70B01C24F00000036,"CENTERRA GROUP, LLC",1825076.92,2024-03-01,P00004,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,SWB ARMED FACILITY GUARDS INCREMENTAL FUNDING
CBP,70B01C24F00000036,"CENTERRA GROUP, LLC",1825076.92,2023-12-06,0,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,"ARMED FACILITY GUARDS IN SAN DIEGO (CHULA VISTA) AND IMPERIAL, CA REGIONS"
CBP,70B04C18F00000188,"INDIGO IT, LLC",1824203.15,2023-12-21,P00015,IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT,COMPUTER SYSTEMS DESIGN SERVICES,PATCH AND RELEASE SERVICES
CBP,70B04C23F00000790,"COUNTERTRADE PRODUCTS, INC.",1821855.52,2024-08-02,P00001,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,AIRWATCH MDM LICENSES
CBP,70B04C23F00000620,AMERICAN SCIENCE & ENGINEERING INC,1818235.79,2024-08-30,P00006,"IT AND TELECOM - END USER: HELP DESK; TIER 1-2, WORKSPACE, PRINT, OUTPUT, PRODUCTIVITY TOOLS (LABOR)",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,THE PURPOSE OF THIS MODIFICATION (P00006) IS TO EXTEND THE PERIOD OF PERFORMANCE OF TASK ORDER 70B04C23F00000620.
CBP,70B03C24F00000382,"WERIS, INC",1807036.89,2024-07-15,0,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",COMPUTER SYSTEMS DESIGN SERVICES,STATISTICAL AND DATA INTEGRITY ADMINISTRATIVE SUPPORT
CBP,70B04C24F00000733,PARAGON MICRO INC,1800103.0,2024-08-29,0,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,QLIK SENSE SOFTWARE
CBP,70B02C24F00000509,PRESCIENT EDGE CORPORATION,1800000.0,2024-07-16,0,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,ENGINEERING SERVICES,TASK ORDER IS TO ORDER MINOTAUR MISSION MANAGEMENT SYSTEM (MMS) SOFTWARE SUSTAINMENT SERVICES FOR CBP AIRCRAFT.
CBP,70B01C24F00000033,"CENTERRA GROUP, LLC",1800000.0,2024-02-07,P00003,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING MODIFICATION
CBP,70B03C24F00000281,"ZEPHYR AVIATION, LLC",1800000.0,2024-06-05,P00001,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AIR PASSENGER,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,ADDITIONAL HOURS
CBP,70B04C24F00000184,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1799175.56,2024-03-29,P00001,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,IT SERVICE AND SUPPORT
CBP,70B06C24F00000453,LEADING TECHNOLOGY COMPOSITES INC,1790227.32,2024-09-10,0,"CLOTHING, SPECIAL PURPOSE",APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,BALLISTIC PLATES
CBP,70B01C23F00001236,"SLSCO, LTD.",1789513.79,2024-06-28,P00001,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,REVISED MATERIALS LOCATIONS AND EXTENDED THE POP
CBP,70B01C24C00000121,"RED POINT CONSTRUCTION, LLC",1786548.33,2024-09-25,0,REPAIR OR ALTERATION OF FAMILY HOUSING FACILITIES,RESIDENTIAL REMODELERS,ALASKA HOUSING REPAIR AND MAINTENANCE
CBP,70B03C24F00000866,TRAXYL INC.,1784640.0,2024-09-19,0,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,ALL OTHER TELECOMMUNICATIONS,MINIMUM ORDER FOR INTERNET CONNECTIVITY INFRASTRUCTURE
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1782076.84,2024-05-20,P00005,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1782076.84,2023-12-07,0,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,ARMED FACILITY GUARDS - EL PASO REGION
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1782076.84,2024-06-14,P00007,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING PROVIDED
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1782076.84,2024-03-01,P00004,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING FOR SWB ARMED FACILITY GUARDS
CBP,70B01C23F00000804,PARAGON SYSTEMS INC,1780920.0,2024-09-23,P00010,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
CBP,70B01C24F00000034,PARAGON SYSTEMS INC,1780920.0,2024-09-30,P00010,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,FUNDING MODIFICATION
